Time,Playercount
2017-12-18,320
2017-12-19,234
2017-12-20,230
2017-12-21,229
2017-12-22,209
2017-12-23,222
2017-12-24,208
2017-12-25,186
2017-12-26,186
2017-12-27,186
2017-12-28,170
2017-12-29,165
2017-12-30,168
2017-12-31,163
2018-01-01,165
2018-01-02,150
2018-01-03,137
2018-01-04,149
2018-01-05,123
2018-01-06,152
2018-01-07,155
2018-01-08,126
2018-01-09,109
2018-01-10,102
2018-01-11,105
2018-01-12,114
2018-01-13,143
2018-01-14,146
2018-01-15,120
2018-01-16,105
2018-01-17,109
2018-01-18,103
2018-01-19,103
2018-01-20,128
2018-01-21,130
2018-01-22,96
2018-01-23,96
2018-01-24,93
2018-01-25,91
2018-01-26,92
2018-01-27,126
2018-01-28,131
2018-01-29,94
2018-01-30,90
2018-01-31,87
2018-02-01,85
2018-02-02,84
2018-02-03,113
2018-02-04,124
2018-02-05,90
2018-02-06,84
2018-02-07,91
2018-02-08,84
2018-02-09,88
2018-02-10,119
2018-02-12,96
2018-02-13,85
2018-02-14,74
2018-02-15,72
2018-02-16,101
2018-02-17,123
2018-02-18,137
2018-02-19,112
2018-02-20,100
2018-02-21,92
2018-02-22,91
2018-02-23,97
2018-02-24,117
2018-02-25,119
2018-02-26,83
2018-02-27,83
2018-02-28,88
2018-03-01,80
2018-03-02,80
2018-03-03,108
2018-03-04,120
2018-03-05,93
2018-03-06,82
2018-03-07,93
2018-03-08,91
2018-03-09,104
2018-03-10,114
2018-03-11,120
2018-03-12,87
2018-03-13,89
2018-03-14,80
2018-03-15,85
2018-03-16,93
2018-03-17,107
2018-03-18,105
2018-03-19,81
2018-03-20,82
2018-03-21,82
2018-03-22,83
2018-03-23,90
2018-03-24,113
2018-03-25,122
2018-03-26,85
2018-03-27,86
2018-03-28,80
2018-03-29,83
2018-03-30,98
2018-03-31,106
2018-04-01,111
2018-04-02,96
2018-04-03,80
2018-04-04,85
2018-04-05,85
2018-04-06,82
2018-04-07,104
2018-04-08,119
2018-04-09,92
2018-04-10,77
2018-04-11,73
2018-04-12,71
2018-04-13,74
2018-04-14,98
2018-04-15,110
2018-04-16,89
2018-04-17,74
2018-04-18,73
2018-04-19,72
2018-04-20,74
2018-04-21,94
2018-04-22,101
2018-04-23,79
2018-04-24,73
2018-04-25,80
2018-04-26,78
2018-04-27,75
2018-04-28,96
2018-04-29,104
2018-04-30,89
2018-05-01,97
2018-05-02,140
2018-05-03,140
2018-05-04,168
2018-05-05,235
2018-05-06,262
2018-05-07,199
2018-05-08,171
2018-05-09,141
2018-05-10,134
2018-05-11,137
2018-05-12,158
2018-05-13,165
2018-05-14,110
2018-05-15,104
2018-05-16,103
2018-05-17,93
2018-05-18,104
2018-05-19,132
2018-05-20,131
2018-05-21,112
2018-05-22,96
2018-05-23,86
2018-05-24,88
2018-05-25,94
2018-05-26,118
2018-05-27,121
2018-05-28,121
2018-05-29,92
2018-05-30,95
2018-05-31,99
2018-06-01,91
2018-06-02,113
2018-06-03,113
2018-06-04,93
2018-06-05,83
2018-06-06,87
2018-06-07,85
2018-06-08,94
2018-06-09,116
2018-06-10,118
2018-06-11,91
2018-06-12,85
2018-06-13,78
2018-06-14,77
2018-06-15,79
2018-06-16,94
2018-06-17,100
2018-06-18,80
2018-06-19,82
2018-06-20,78
2018-06-21,77
2018-06-22,89
2018-06-23,105
2018-06-24,119
2018-06-25,97
2018-06-26,102
2018-06-27,100
2018-06-28,98
2018-06-29,110
2018-06-30,120
2018-07-01,123
2018-07-02,106
2018-07-03,102
2018-07-04,115
2018-07-05,116
2018-07-06,110
2018-07-07,116
2018-07-08,119
2018-07-09,96
2018-07-10,93
2018-07-11,78
2018-07-12,82
2018-07-13,83
2018-07-14,111
2018-07-15,104
2018-07-16,86
2018-07-17,87
2018-07-18,90
2018-07-19,86
2018-07-20,88
2018-07-21,101
2018-07-22,108
2018-07-23,93
2018-07-24,90
2018-07-25,91
2018-07-26,85
2018-07-27,83
2018-07-28,91
2018-07-29,108
2018-07-30,95
2018-07-31,90
2018-08-01,87
2018-08-02,85
2018-08-03,85
2018-08-04,99
2018-08-05,102
2018-08-06,88
2018-08-07,81
2018-08-08,79
2018-08-09,80
2018-08-10,80
2018-08-11,89
2018-08-12,99
2018-08-13,79
2018-08-14,74
2018-08-15,78
2018-08-16,73
2018-08-17,71
2018-08-18,92
2018-08-19,93
2018-08-20,81
2018-08-21,77
2018-08-22,77
2018-08-23,80
2018-08-24,80
2018-08-25,102
2018-08-26,103
2018-08-27,80
2018-08-28,70
2018-08-29,73
2018-08-30,72
2018-08-31,72
2018-09-01,91
2018-09-02,97
2018-09-03,95
2018-09-04,72
2018-09-05,69
2018-09-06,69
2018-09-07,69
2018-09-08,91
2018-09-09,101
2018-09-10,74
2018-09-11,66
2018-09-12,67
2018-09-13,69
2018-09-14,70
2018-09-15,92
2018-09-16,101
2018-09-17,80
2018-09-18,73
2018-09-19,71
2018-09-20,67
2018-09-21,68
2018-09-22,89
2018-09-23,97
2018-09-24,77
2018-09-25,71
2018-09-26,67
2018-09-27,65
2018-09-28,66
2018-09-29,82
2018-09-30,97
2018-10-01,73
2018-10-02,69
2018-10-03,71
2018-10-04,72
2018-10-05,73
2018-10-06,88
2018-10-07,96
2018-10-08,75
2018-10-09,69
2018-10-10,62
2018-10-11,66
2018-10-12,74
2018-10-13,92
2018-10-14,102
2018-10-15,77
2018-10-16,73
2018-10-17,72
2018-10-18,72
2018-10-19,67
2018-10-20,89
2018-10-21,96
2018-10-22,79
2018-10-23,67
2018-10-24,71
2018-10-25,71
2018-10-26,72
2018-10-27,96
2018-10-28,102
2018-10-29,70
2018-10-30,68
2018-10-31,74
2018-11-01,80
2018-11-02,82
2018-11-03,96
2018-11-04,104
2018-11-05,88
2018-11-06,80
2018-11-07,78
2018-11-08,71
2018-11-09,78
2018-11-10,97
2018-11-11,110
2018-11-12,88
2018-11-13,70
2018-11-14,70
2018-11-15,68
2018-11-16,77
2018-11-17,94
2018-11-18,107
2018-11-19,80
2018-11-20,72
2018-11-21,81
2018-11-22,93
2018-11-23,102
2018-11-24,121
2018-11-25,126
2018-11-26,99
2018-11-27,94
2018-11-28,86
2018-11-29,77
2018-11-30,85
2018-12-01,103
2018-12-02,115
2018-12-03,85
2018-12-04,80
2018-12-05,89
2018-12-06,84
2018-12-07,81
2018-12-08,103
2018-12-09,111
2018-12-10,75
2018-12-11,73
2018-12-12,74
2018-12-13,76
2018-12-14,84
2018-12-15,98
2018-12-16,106
2018-12-17,79
2018-12-18,84
2018-12-19,80
2018-12-20,78
2018-12-21,90
2018-12-22,113
2018-12-23,128
2018-12-24,130
2018-12-25,114
2018-12-26,119
2018-12-27,132
2018-12-28,127
2018-12-29,129
2018-12-30,133
2018-12-31,128
2019-01-01,122
2019-01-02,124
2019-01-03,107
2019-01-04,109
2019-01-05,130
2019-01-06,133
2019-01-07,104
2019-01-08,98
2019-01-09,92
2019-01-10,85
2019-01-11,88
2019-01-12,117
2019-01-13,124
2019-01-14,95
2019-01-15,83
2019-01-16,94
2019-01-17,92
2019-01-18,95
2019-01-19,121
2019-01-20,122
2019-01-21,97
2019-01-22,90
2019-01-23,89
2019-01-24,83
2019-01-25,93
2019-01-26,118
2019-01-27,123
2019-01-28,93
2019-01-29,82
2019-01-30,89
2019-01-31,88
2019-02-01,95
2019-02-02,113
2019-02-03,119
2019-02-04,89
2019-02-05,91
2019-02-06,92
2019-02-07,97
2019-02-08,91
2019-02-09,135
2019-02-10,138
2019-02-11,108
2019-02-12,100
